NEED_2_TEST,ID,SENSOR_TYPE,D_STATE,D_TRIGGER,D_SLEEP_TIME_1,R_GW_SIREN_1,R_SYSTEM_STATE_1,R_EVENT,D_SLEEP_TIME_2,IS_KEYFOB,D_STATE_2,R_GW_SIREN_2,R_SYSTEM_STATE_2,R_EVENT_2,R_CLIP_FILE
N,120,WTD,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,121,WTD,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,122,WTD,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,DISARM,NO_SOUND,DISARM,20002,N
N,123,WTD,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,DISARM_PIN_FAIL,NO_SOUND,EXIT_DELAY,NO_CHK,N
N,124,WTD,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,125,WTD,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,126,WTD,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,DISARM,NO_SOUND,DISARM,20002,N
N,127,WTD,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,NOTHING,NOTHING,NO_SOUND,EXIT_DELAY,NO_CHK,N
N,128,WTD,EXIT_DELAY,LOW_BATTERY,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,129,WTD,EXIT_DELAY,LOW_BATTERY,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,130,WTD,EXIT_DELAY,LOW_BATTERY,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,DISARM,NO_SOUND,DISARM,20002,N
